;Indivíduo;Resultado;Gerações
0;[0.04017647058823529, 125.29411764705883, 1.0, 0.0, 1.0, 0.0, 0.334, 0.0, 1.0, 147.76470588235296, 1.0, 1.0, 0.24705882352941178, 0.0, 120.47058823529412, 0.0, 0.535042735042735, 1.0, 3.0, 0.0, 0.1568627450980392, 0.0, 0.8235294117647058, 0.15378823529411764, 0.03843752941176471, 0.08627588235294117, 0.09451035294117648, 0.48048093841642225, 0.7060615835777125, 0.0, 0.0, 1.0, 0.638095238095238, 0.16666666666666666, 1.0, 178388.27838827838, 0.0, 19.208211143695017, 12.592375366568916, 1.0, 2.8571428571428568, 1.0, 0.0, 2.8571428571428568, 0.0, 1.0, 2.8571428571428568, 0.0, 2.0, 4.0, 1.0, 0.0, 3.4285714285714284, 1.0, 1.0, 2.8571428571428568, 1.0, 3.0, 1.7142857142857142, 0.0, 2.0, 0.0, 1.0, 0.0, 1.7142857142857142, 3.4285714285714284, 2.0, 0.0, 1.1428571428571428, 1.0, 1.0, 1.1428571428571428, 3.0, 0.0];1000000,0;-1
1;[0.020588235294117647, 114.70588235294117, 0.0, 0.0, 3.0, 0.0, 0.001, 0.0, 0.0, 79.29411764705883, 0.0, 1.0, 0.6039215686274509, 0.0, 146.47058823529412, 8.774193548387096, 0.2617826617826618, 1.0, 1.0, 1.0, 0.5647058823529412, 12.611764705882353, 9.76470588235294, 0.4789529411764706, 0.042358705882352944, 0.08196258823529412, 0.04039811764705883, 0.8017624633431085, 0.1162316715542522, 1.0, 1.0, 1.0, 0.8031746031746032, 0.29047619047619044, 1.0, 65347.98534798535, 0.0, 8.527859237536656, 2.6158357771260996, 1.0, 3.4285714285714284, 2.0, 3.0, 1.1428571428571428, 3.0, 0.0, 2.2857142857142856, 2.0, 2.0, 4.0, 3.0, 0.0, 4.0, 0.0, 1.0, 1.7142857142857142, 0.0, 0.0, 1.7142857142857142, 3.0, 3.0, 2.8571428571428568, 3.0, 1.0, 3.4285714285714284, 1.1428571428571428, 2.0, 3.0, 3.4285714285714284, 0.0, 2.0, 0.0, 1.0, 1.0];286049,8679247618;-1
2;[0.9608235294117646, 157.64705882352942, 0.0, 0.0, 3.0, 1.0, 0.667, 1.0, 0.0, 147.76470588235296, 0.0, 1.0, 0.5490196078431373, 1.0, 50.882352941176464, 5.67741935483871, 0.9931623931623932, 0.0, 2.0, 1.0, 0.2549019607843137, 8.533333333333333, 0.1568627450980392, 0.5925647058823529, 0.005107529411764706, 0.057259176470588244, 0.016871058823529413, 0.7548885630498533, 0.3291173020527859, 1.0, 1.0, 0.0, 0.9238095238095239, 0.13809523809523808, 1.0, 88864.46886446886, 1.0, 2.7565982404692084, 15.794721407624635, 1.0, 0.5714285714285714, 1.0, 2.0, 1.1428571428571428, 3.0, 3.0, 2.2857142857142856, 3.0, 0.0, 4.0, 3.0, 2.0, 2.8571428571428568, 0.0, 0.0, 4.0, 1.0, 1.0, 3.4285714285714284, 1.0, 1.0, 3.4285714285714284, 2.0, 3.0, 0.5714285714285714, 0.5714285714285714, 2.0, 0.0, 2.2857142857142856, 2.0, 1.0, 0.5714285714285714, 1.0, 0.0];286681,39705336094;-1
3;[0.5102941176470588, 82.94117647058823, 1.0, 3.0, 1.0, 1.0, 0.334, 1.0, 0.0, 140.7058823529412, 0.0, 1.0, 0.023529411764705882, 1.0, 7.294117647058823, 1.5483870967741935, 0.08595848595848596, 0.0, 1.0, 1.0, 0.8862745098039215, 10.60392156862745, 4.313725490196078, 0.6395764705882353, 0.05451435294117648, 0.07255176470588236, 0.05373011764705883, 0.8291055718475073, 0.8769560117302052, 0.0, 0.0, 0.0, 0.8857142857142857, 0.2952380952380952, 1.0, 67509.1575091575, 0.0, 9.8475073313783, 7.067448680351907, 0.0, 0.0, 0.0, 3.0, 3.4285714285714284, 0.0, 2.0, 3.4285714285714284, 1.0, 2.0, 0.5714285714285714, 1.0, 0.0, 2.2857142857142856, 2.0, 2.0, 1.1428571428571428, 3.0, 3.0, 1.7142857142857142, 2.0, 0.0, 2.2857142857142856, 2.0, 3.0, 2.8571428571428568, 4.0, 1.0, 3.0, 4.0, 2.0, 2.0, 2.8571428571428568, 1.0, 2.0];1000000,0;-1
4;[0.11852941176470588, 198.23529411764707, 0.0, 2.0, 1.0, 0.0, 0.334, 0.0, 1.0, 176.7058823529412, 1.0, 0.0, 0.6784313725490196, 0.0, 179.35294117647058, 13.419354838709676, 0.8300366300366301, 0.0, 0.0, 0.0, 0.4588235294117647, 0.6901960784313725, 6.705882352941177, 0.8863882352941176, 0.04863258823529412, 0.023537058823529414, 0.02079223529411765, 0.9238299120234603, 0.7578181818181818, 1.0, 0.0, 1.0, 0.6698412698412698, 0.2857142857142857, 0.0, 174175.82417582418, 0.0, 15.689149560117304, 19.929618768328446, 3.0, 2.8571428571428568, 1.0, 0.0, 1.7142857142857142, 1.0, 2.0, 1.7142857142857142, 3.0, 0.0, 0.0, 3.0, 3.0, 1.7142857142857142, 3.0, 2.0, 0.0, 3.0, 2.0, 3.4285714285714284, 0.0, 2.0, 1.1428571428571428, 1.0, 0.0, 1.1428571428571428, 3.4285714285714284, 3.0, 1.0, 1.1428571428571428, 3.0, 1.0, 4.0, 2.0, 1.0];283472,7433290442;-1
5;[0.5612235294117647, 172.3529411764706, 0.0, 1.0, 0.0, 1.0, 0.667, 0.0, 1.0, 147.76470588235296, 1.0, 0.0, 0.7254901960784313, 1.0, 7.294117647058823, 11.35483870967742, 0.6105006105006106, 1.0, 1.0, 1.0, 0.03137254901960784, 5.270588235294118, 4.509803921568627, 0.13028235294117646, 0.00785235294117647, 0.02549764705882353, 0.09764729411764705, 0.0068592375366568915, 0.8388709677419355, 0.0, 0.0, 1.0, 0.7396825396825397, 0.1238095238095238, 1.0, 145091.5750915751, 1.0, 4.392961876832844, 5.079178885630499, 2.0, 4.0, 1.0, 3.0, 1.1428571428571428, 2.0, 0.0, 0.5714285714285714, 1.0, 1.0, 2.8571428571428568, 1.0, 2.0, 3.4285714285714284, 1.0, 1.0, 4.0, 1.0, 0.0, 4.0, 2.0, 0.0, 4.0, 2.0, 0.0, 0.0, 0.5714285714285714, 1.0, 1.0, 2.8571428571428568, 1.0, 1.0, 3.4285714285714284, 1.0, 1.0];286970,97766238835;-1
6;[0.07543529411764706, 124.70588235294117, 1.0, 2.0, 2.0, 1.0, 1.0, 0.0, 0.0, 99.05882352941177, 1.0, 0.0, 0.3764705882352941, 0.0, 29.470588235294116, 3.096774193548387, 0.6683760683760683, 1.0, 0.0, 0.0, 0.3803921568627451, 1.380392156862745, 3.9215686274509802, 0.7923647058823529, 0.07882564705882353, 0.016871058823529413, 0.08627588235294117, 0.2588064516129032, 0.6064545454545455, 0.0, 0.0, 0.0, 0.7206349206349206, 0.1857142857142857, 0.0, 126410.2564102564, 0.0, 4.269794721407624, 15.126099706744869, 2.0, 3.4285714285714284, 1.0, 2.0, 4.0, 0.0, 3.0, 0.0, 2.0, 2.0, 1.1428571428571428, 2.0, 0.0, 1.7142857142857142, 2.0, 3.0, 1.1428571428571428, 2.0, 3.0, 3.4285714285714284, 2.0, 0.0, 2.8571428571428568, 3.0, 1.0, 1.7142857142857142, 1.1428571428571428, 3.0, 2.0, 2.2857142857142856, 0.0, 0.0, 1.7142857142857142, 2.0, 3.0];1000000,0;-1
7;[0.2399764705882353, 194.11764705882354, 1.0, 3.0, 3.0, 0.0, 1.0, 0.0, 1.0, 94.11764705882354, 0.0, 1.0, 0.3411764705882353, 1.0, 135.0, 11.870967741935484, 0.021733821733821733, 0.0, 3.0, 1.0, 0.7803921568627451, 12.109803921568627, 0.8235294117647058, 0.9333999999999999, 0.040790235294117655, 0.03412423529411765, 0.08902070588235295, 0.2695483870967742, 0.3408357771260997, 1.0, 0.0, 1.0, 0.7015873015873015, 0.0619047619047619, 0.0, 182087.9120879121, 0.0, 7.524926686217009, 19.208211143695017, 2.0, 2.8571428571428568, 2.0, 1.0, 3.4285714285714284, 1.0, 1.0, 2.8571428571428568, 0.0, 3.0, 2.8571428571428568, 2.0, 0.0, 1.1428571428571428, 2.0, 1.0, 3.4285714285714284, 1.0, 2.0, 0.5714285714285714, 2.0, 0.0, 0.5714285714285714, 2.0, 1.0, 2.2857142857142856, 2.2857142857142856, 2.0, 0.0, 1.1428571428571428, 3.0, 2.0, 4.0, 1.0, 0.0];319234,9742422439;-1
8;[0.11461176470588234, 189.41176470588235, 1.0, 2.0, 2.0, 0.0, 0.334, 1.0, 0.0, 43.294117647058826, 0.0, 0.0, 0.9568627450980391, 0.0, 6.529411764705882, 11.35483870967742, 0.9626373626373627, 1.0, 3.0, 1.0, 0.3568627450980392, 3.388235294117647, 6.588235294117647, 0.004917647058823529, 0.022752823529411766, 0.019223764705882353, 0.04000600000000001, 0.5380967741935484, 0.03127272727272727, 1.0, 1.0, 0.0, 0.7777777777777778, 0.2238095238095238, 1.0, 66593.40659340659, 1.0, 9.935483870967744, 7.771260997067449, 0.0, 2.2857142857142856, 0.0, 1.0, 1.1428571428571428, 1.0, 2.0, 1.1428571428571428, 1.0, 0.0, 2.8571428571428568, 3.0, 3.0, 0.5714285714285714, 2.0, 2.0, 3.4285714285714284, 2.0, 0.0, 2.2857142857142856, 1.0, 3.0, 0.0, 1.0, 1.0, 4.0, 3.4285714285714284, 2.0, 1.0, 2.2857142857142856, 3.0, 1.0, 3.4285714285714284, 0.0, 2.0];1000000,0;-1
9;[0.5847294117647058, 59.411764705882355, 1.0, 1.0, 1.0, 1.0, 0.334, 0.0, 1.0, 99.05882352941177, 1.0, 0.0, 0.788235294117647, 0.0, 16.470588235294116, 3.6129032258064515, 0.967032967032967, 1.0, 1.0, 1.0, 0.13333333333333333, 3.2627450980392156, 7.176470588235294, 0.12636470588235293, 0.07372811764705882, 0.07686505882352941, 0.0023627058823529412, 0.6503988269794722, 0.8945337243401759, 0.0, 1.0, 0.0, 0.6698412698412698, 0.09999999999999999, 0.0, 184358.97435897434, 0.0, 14.75659824046921, 9.35483870967742, 2.0, 1.1428571428571428, 0.0, 3.0, 1.1428571428571428, 2.0, 2.0, 0.0, 1.0, 3.0, 0.0, 2.0, 0.0, 0.5714285714285714, 0.0, 0.0, 2.8571428571428568, 1.0, 1.0, 0.5714285714285714, 1.0, 0.0, 4.0, 1.0, 1.0, 1.1428571428571428, 2.8571428571428568, 1.0, 0.0, 4.0, 1.0, 2.0, 1.7142857142857142, 2.0, 1.0];283702,12452826824;-1
